,location,date,word_count,latitude,longitude,source,source_id,description,country,shape_class
226460,5229157,1995-06-01 23:00:00,135.0,-33.03268,137.56483,2.0,S56741,"Lights in the sky

I looked up at the night sky and noticed between 30 to 40 rectangular objects moving west to east. They appeared to be very far away. 

I noticed there were four colours present, red, green, yellow and blue. These coulours were in random order. The objects appeared in three rows. Under the third row was one single yellow rectangular light, larger and longer than the rest. This light appeared to be trying to catch up to the front of the leading crafts and slowed as it approached the front of the formation. 

After approx 30 seconds all of the lights dimmed into nothing.

((NUFORC Note: Witness indicates that the date of the incident is approximate. PD))
Shape: Rectangle
Duration: 5 minutes
Characteristics: There was an aura or haze around the object",AU,
168099,5190827,2008-05-26 19:26:00,412.0,30.43826,-84.28073,1.0,10936,"Star against blue sky moving around for 90 minutes

I was sitting at a small park on the edge of Lake Jackson, looking up at the blue sky and few clouds and noticing the floaters in my aging eyesight when I saw a star. Thought that was pretty neat as I don't often see stars until nearer to dusk. I realized it was moving - almost imperceptively - but moving all the same. I was intrigued and turned on my car to see the time. 7:26 pm. I watched for another 20 minutes and watched this ""star"" move about 30 degrees to the north and east, almost straight above me. Called my husband who drove his car to my location. He saw it, said cool, and started investigating the grounds. He would check in with me every 5 minutes to see where it had moved. Intensity of the light never really changed and the movement was so slight that you wouldn't notice it moving unless you were keeping track of it. When initially seen, I was looking SSW. Over the 90 minutes it was visible, it moved over a portion of the sky that a place mat would cover if held at arms length. During the sighting a few high flying jets went over. I couldn't tell whether the light was at a higher or lower altitude than these jets but my feeling was it was in the upper atmosphere. I called my sister and brother in law who live a few miles away and they both saw the 'star' from their location but were uninterested in it moving. At about 8:50 pm it was located further west than when first seen and it just winked out - I believe due to the setting sun. Made me realize the 'star' was not giving off its own light, but was reflecting light. During the show, I also called my nephew who works for JPL in Pasadena, but couldn't reach him. He called me later and said it could be a weather balloon, a spy plane, or some rocket that shoots straight up then unloads its cargo and comes right back down. None of those sounded right to me, but who knows? I didn't have a camera or binoculars and didn't think to ask my husband to bring them. I tried taking cell phone pic but of course nothing showed up. It was a great 24th anniversary present. Curious if anyone else saw this?",US,
64410,5414007,2016-09-10 19:10:00,88.0,38.50029,-98.50063,2.0,S129863,"Saw a helicopter chasing a orb across the sky at night. The orb looked like a star in the sky. Seemed like the helicopter and orb kept an equal distance between them selves. The orb was in front I could hear the helicopter and see its red flashing light. Not sure about exact time around 9pm I think.

((NUFORC Note: Witness elects to remain totally anonymous; provides no contact information. PD))
Shape: Sphere
Duration: 8 minutes
Characteristics: There were aircraft in the vicinity or aircraft chasing the object",US,
167369,5188723,2008-07-02 03:00:00,163.0,32.78306,-96.80667,2.0,S64247,"Object was a fast moving fireball, that moved towards the ground, disappeared and scared my dogs(and me).

fireball, moved fast, white then turned blue, moving towards ground, flashed, disappeared, my dog actually barked at it, did make a noise, looked like it was far away, then both my dogs started barking and ran towards the back fence, I then heard a noise, like a whistling, my dogs ran to the back door, as if scared, I thought I had seen a light around the time, same fireball like object, in the last week, I thought I was just being silly and it was a shooting star, this time it seems to be real and not my imagination, if dogs could talk, I would have witnesses, very odd experience, I have never believed in this sort of thing
Shape: Fireball
Duration: 2-3 Seconds
Characteristics: The object left a trail, The object changed color, The object made a sound, There were electrical or magnetic effects",US,
124272,5390163,2012-09-23 00:10:00,200.0,41.86392,-87.85339,2.0,S93005,"10 to 15 lights clustered in but unattached standing still in the sky

As my wife and i were coming home, once we reached the top of the bridge , i noticed some unusual lights in the sky about 10 to 15 standing still, they were individual lights in no particular formation, but grouped kinda close together but not attached to one another, there was another aircraft which appeared to be an aircraft but not like a commercial plane flying directly towards them to the East, once it got close and by the time we reached the bottom of the bridge and turn the corner towards our home, we could see the aircraft veering in a northerly direction but could no longer see the clusters of light even as we turned around to go back on the bridge to the west and then back towards the east in the direction we first saw them. No its not something normal we see in the sky, this is the first time i have ever witnessed an even as such.
Shape: Light
Duration: 3 minutes
Characteristics: There were lights on the object, There were aircraft in the vicinity or aircraft chasing the object",US,
2348,5188389,2022-04-19 21:00:00,59.0,36.16589,-86.78444,2.0,S168159,"Shape changing ufo & colorshift

Several UFo sightings. They are stationary, moving abruptly, react to my movements. Picture of an entity standing on my porch & multiple pics/videos available by request to study & verify
Shape: Changing
Duration: hour
Characteristics: There were lights on the object, There was an aura or haze around the object, The object changed color",US,
34177,5238723,2019-06-25 22:00:00,124.0,32.00022,-80.84567,2.0,S147189,"One craft hovered over the ocean at Tybee Island. It was moving north along the coast at a fairly slow speed. It was moving behind some low clouds, it was barely any darker than the clouds. It blended in with the cloud basically. 

We watched it from a dock on Tybee, there were several people out fishing off the dock but we were the only ones who saw it. The front of the craft was a triangle shape that formed into more of a rectangle, like a house shape turned on its side. It came and went very fast, but left us all mesmerized and clueless.

((NUFORC Note: Witness elects to remain totally anonymous; provides no contact information. PD))
Shape: Triangle
Duration: 20 seconds",US,
103573,5401527,2014-01-23 22:34:00,361.0,52.00017,-71.99907,2.0,S106612,"Hovering orbs inside my bedroom and alien figures outside my window. Possible abduction

It was about 9:30 PM. I was alone at home, reading a book in my bedroom. My kids slept in their bedroom in the basement. The lights were all off, except my reading light on my headboard.

I was focused on my book when I saw something from the corner of the eye. I immediately felt chills. Looking, I saw that there was nothing. So I continued my reading for a few minutes until a flash of white light lighted my whole bedroom. Then I saw three white spheres the size of a basketball floating in the air at the height of the ceiling. I felt terrified. The spheres move synchronously in spirals around the room. Spheres of light emitted a hum. Spheres illuminated the room. With a yank, the spheres have stopped moving and vanished.

My heart was beating too fast. I looked at my phone and it was 10:34 PM. Reassured, I told myself that I had probably dreamed of this observation.

I instinctively looked out the window. What I saw completely hurt me. There was a total of two beings standing, looking at me through my window. They were about 4 feet tall, big heads, big slanted black eyes, no nose, only nostrils. They looked at me with a terrible stare. I could feel anger towards me. I was sweating cold water. I was terrified. 

Suddenly, they disappeared in a matter of seconds. I felt reassured for a second, until something cold grabbed my legs and my arms at the same time. I couldn't move, they were holding me tight. I could feel something cold inside my skull, as if someone was touching parts of my brain. It was a really scaring experience. A really uncomfortable feeling. Everything went black and I passed out.

I woke up next morning at 09h52, with a terrible headache. Something happened last night. I will never be the same again.
Shape: Sphere
Duration: 1 hour
Characteristics: There was an aura or haze around the object, This is a possible UFO abduction case, Entities were seen, Missing time was experienced",CA,
295284,5188840,1951-01-16 00:00:00,472.0,32.84233,-104.4033,3.0,1hw38we,"Two Discs Approach SkyhookBrad Sparks:

BODY {font-family=""Arial""}
TT {font-family=""Courier New""}
BLOCKQUOTE.CITE {padding-left:0.5em; margin-left:0; margin-right:0; margin-top:0; margin-bottom:0; border-left:""solid 2"";}

Jan 16, 1951. Artesia, New Mexico (BBU 1037)
11 a.m. A. V. Swearingen, photographer Raymond
Dugan, pilot Raymond E. Stiles, and Alvin H. Hazel,
members of a balloon project of General Mills
Aeronautical Research Laboratory, while observing
the project's 110 ft balloon at an altitude of
112,000 ft spotted a motionless dull white, round
object 5/3 larger than the balloon, apparently
higher than the balloon, which then flew off at high
speed covering 45° in 3 secs [5+ miles/sec].
Other observers included 6 pilots on the ground and
a newspaper reporter from Artesia. Shortly
thereafter, the balloon crew, the manager of Artesia
Airport, 3 pilots and 2 newspaper reporters saw 2
gray flat elliptical objects from the NW flying
side-by-side, then circle the balloon and fly away
to the NE. (Sparks; BB Maxwell Microfilm Roll
9, pp. 743 etc.; Berliner; BB Rpt 6; cf. Hynek UFO
Exp ch. 6, case DD-8; Loren Gross 1951 p. 4;
Saunders/FUFOR Index; Joel Carpenter) ? + 40 secs
10+ + 7+ witnesses 1/6 Full Moon ?

Fran Ridge:
Listed on the January
1951 BB sighting index as ""Case Missing"", and a meager
description from the UFO Evidence, I posted this case
on Tuesday, 2 Oct, 2012. To the rescue came Brad
Sparks, Dan Wilson, and Mike Swords. In an unprocessed
email in September, Dan had found (16) documents and
advised that ""the case was misfiled as 1952. This is
the reason for the 'Case Missing'"". All this was
called to my attention when Brad advised the same
information with detail, providing too the above
detailed entry from his catalog. Then Mike sent
(7) documents and even more detail. Thanks to these
great A-Team members we have the missing information
on this case.

Mike Swords:
One key thing that researchers/readers should note
here is that this was a General Mills case at the time
when the GMills guys were really angry with Grudge and
so was the Navy shortly thereafter. So the GM guys
didn't report the 1951 case until about a year later,
and then only to a CIA guy who was reporting it to the
Navy's newly formed UFO case collection project. The
head of that project ultimately decided to share
information with Blue Book [Ruppelt had gotten in by
that time and was probably viewed as a better guy, and
Ruppelt misunderstood the case date initially,
reporting it in BB#6 as 1952. He later learned [too
late] that it actually was 1951 and corrects that in
his book. This 1952 error gets into the UFO community
and persists. By the 1960s however it is corrected and
we have the 1951 date since then.

Detailed reports and
documents
reports/510116artesia_report.htm
(Dan Wilson)
reports/510116artesia_report2.htm
[possible connection] (Dan Wilson)
reports/510116artesia_report3.htm
(Mike Swords)",US,
234136,5260861,1990-01-09 20:00:00,21.0,4.0,-73.25,4.0,139748,Close encounter with a an unidentified craft and its occupants. An unidentifiable object and its occupants were observed at close range.,CO,
